"Date","Start","End","Hours","Night Eating"
"24/10/2022","16:27","01:42","9"
"23/10/2022","12:07","05:12","17"
"22/10/2022","16:18","01:42","9"
"21/10/2022","15:12","01:19","10"
"20/10/2022","16:30","05:03","12"
"19/10/2022","14:30","01:32","11"
"18/10/2022","14:00","01:58","11"
"17/10/2022","11:54","05:34","17"
"16/10/2022","15:04","01:41","10"
"15/10/2022","15:58","01:59","10"
"14/10/2022","12:37","05:17","16"
"13/10/2022","15:25","02:09","10"
"12/10/2022","14:55","01:42","10"
"11/10/2022","14:58","05:18","14"
"10/10/2022","13:35","01:49","12"
"9/10/2022","13:30","02:36","13"
"8/10/2022","14:42","05:21","14"
"7/10/2022","16:54","02:08","9"
"6/10/2022","15:00","05:08","14"
"5/10/2022","12:56","04:45","15"
"4/10/2022","15:53","02:08","10"
"3/10/2022","17:33","05:26","11"
"2/10/2022","16:26","05:39","13"
"1/10/2022","16:55","07:44","13"
"30/9/2022","12:01","02:09","14"
"29/9/2022","14:59","04:51","13"
"28/9/2022","12:55","04:37","15"
"27/9/2022","13:44","02:44","13"
"26/9/2022","12:06","02:24","14"
"25/9/2022","15:49","05:16","13"
"24/9/2022","13:30","05:12","15"
"23/9/2022","10:59","01:59","15"
"22/9/2022","12:00","04:57","16"
"21/9/2022","14:40","02:54","12"
"20/9/2022","13:49","03:14","13"
"19/9/2022","11:46","05:03","17"
"18/9/2022","13:32","02:26","12"
"17/9/2022","17:00","05:05","12"
"16/9/2022","12:57","06:14","17"
"15/9/2022","10:17","05:10","18"
"14/9/2022","11:08","05:18","18"
"13/9/2022","11:39","04:58","17"
"12/9/2022","10:08","04:57","18"
"11/9/2022","09:44","05:22","19"
"10/9/2022","15:33","05:43","14"
"9/9/2022","11:58","05:00","17"
"8/9/2022","12:45","05:07","16"
"7/9/2022","14:50","05:14","14"
"6/9/2022","12:22","08:43","20"
"5/9/2022","08:30","03:54","19"
"4/9/2022","11:43","05:23","17"
"3/9/2022","17:06","06:46","13"
"2/9/2022","12:36","03:48","15"
"1/9/2022","10:20","05:03","18"
"31/8/2022","11:01","05:10","18"
"30/8/2022","10:50","05:17","18"
"29/8/2022","11:27","05:14","17"
"28/8/2022","14:43","05:38","14"
"27/8/2022","18:01","06:14","12"
"26/8/2022","08:37","08:15","23"
"25/8/2022","11:33","05:00","17"
"24/8/2022","11:10","05:31","18"
"23/8/2022","12:26","05:03","16"
"22/8/2022","08:50","05:27","20"
"21/8/2022","12:51","05:06","16"
"20/8/2022","15:16","06:05","14"
"19/8/2022","10:55","05:31","18"
"18/8/2022","09:26","05:39","20"
"17/8/2022","08:18","05:06","20"
"16/8/2022","08:39","05:15","20"
"15/8/2022","09:17","05:20","20"
"14/8/2022","10:00","05:42","19"
"13/8/2022","17:00","05:38","12"
"12/8/2022","10:58","04:45","17"
"11/8/2022","08:00","05:06","21"
"10/8/2022","13:56","04:59","15"
"9/8/2022","08:56","05:13","20"
"8/8/2022","10:55","05:02","18"
"7/8/2022","11:10","04:59","17"
"6/8/2022","15:11","05:58","14"
"5/8/2022","11:45","04:54","17"
"4/8/2022","12:19","05:02","16"
"3/8/2022","09:29","04:45","19"
"2/8/2022","10:56","04:48","17"
"1/8/2022","05:58","05:20","23"
"31/7/2022","13:45","05:13","15"
"30/7/2022","16:30","05:57","13"
"29/7/2022","09:03","04:16","19"
"28/7/2022","08:30","05:13","20"
"27/7/2022","08:55","04:40","19"
"26/7/2022","08:30","05:32","21"
"25/7/2022","05:51","04:52","23"
"24/7/2022","12:20","05:09","16"
"23/7/2022","15:30","05:53","14"
"22/7/2022","09:18","05:07","19"
"21/7/2022","12:14","04:47","16"
"20/7/2022","11:37","05:21","17"
"19/7/2022","05:50","03:42","21"
"18/7/2022","06:12","05:25","23"
"17/7/2022","07:21","05:16","21"
"16/7/2022","16:49","06:36","13"
"15/7/2022","13:56","03:11","13"
"14/7/2022","05:36","05:06","23"
"13/7/2022","13:00","04:56","15"
"12/7/2022","05:42","05:02","23"
"11/7/2022","06:00","05:02","23"
"10/7/2022","12:10","05:31","17"
"9/7/2022","09:30","05:14","19"
"8/7/2022","11:45","05:11","17"
"7/7/2022","11:03","05:01","17"
"6/7/2022","09:35","04:49","19"
"5/7/2022","09:49","04:54","19"
"4/7/2022","14:30","04:56","14"
"3/7/2022","09:56","04:25","18"
"2/7/2022","10:15","05:05","18"
"1/7/2022","09:19","04:41","19"
"30/6/2022","09:28","05:06","19"
"29/6/2022","09:22","04:36","19"
"28/6/2022","09:29","05:07","19"
"27/6/2022","09:36","04:52","19"
"26/6/2022","11:32","04:54","17"
"25/6/2022","14:39","04:58","14"
"24/6/2022","10:31","04:50","18"
"23/6/2022","09:45","04:44","18"
"22/6/2022","10:20","05:01","18"
"21/6/2022","10:05","05:08","19"
"20/6/2022","10:12","05:07","18"
"19/6/2022","10:14","04:43","18"
"18/6/2022","10:28","05:43","19"
"17/6/2022","10:13","04:49","18"
"16/6/2022","10:59","05:07","18"
"15/6/2022","11:22","04:54","17"
"14/6/2022","11:12","05:15","18"
"13/6/2022","09:01","04:27","19"
"12/6/2022","11:30","05:27","17"
"11/6/2022","16:50","06:36","13"
"10/6/2022","15:26","05:39","14"
"9/6/2022","09:48","04:25","18"
"8/6/2022","11:59","04:35","16"
"7/6/2022","14:15","05:02","14"
"6/6/2022","10:04","04:48","18"
"5/6/2022","08:53","04:30","19"
"4/6/2022","16:20","06:03","13"
"3/6/2022","14:50","05:46","14"
"2/6/2022","10:19","04:30","18"
"1/6/2022","10:29","04:40","18"
"31/5/2022","08:49","04:38","19"
"30/5/2022","11:15","04:56","17"
"29/5/2022","11:42","05:02","17"
"28/5/2022","12:58","05:47","16"
"27/5/2022","11:28","07:13","19"
"26/5/2022","09:45","05:05","19"
"25/5/2022","10:49","05:10","18"
"24/5/2022","11:13","05:18","18"
"23/5/2022","10:57","05:37","18"
"22/5/2022","15:39","05:07","13"
"21/5/2022","13:15","05:43","16"
"20/5/2022","09:58","05:06","19"
"19/5/2022","11:02","04:56","17"
"18/5/2022","11:27","04:59","17"
"17/5/2022","11:11","05:04","17"
"16/5/2022","11:32","05:03","17"
"15/5/2022","10:45","04:58","18"
"14/5/2022","14:12","05:03","14"
"13/5/2022","11:31","04:28","16"
"12/5/2022","13:31","05:04","15"
"11/5/2022","08:20","04:52","20"
"10/5/2022","08:01","05:11","21"
"9/5/2022","08:23","05:20","20"
"8/5/2022","13:35","05:12","15"
"7/5/2022","15:24","06:16","14"
"6/5/2022","08:51","05:03","20"
"5/5/2022","14:49","05:36","14"
"4/5/2022","15:14","06:16","15"
"3/5/2022","08:58","05:35","20"
"2/5/2022","12:53","05:39","16"
"1/5/2022","13:39","05:23","15"
"30/4/2022","13:15","05:01","15"
"29/4/2022","09:23","05:20","19"
"28/4/2022","09:06","05:16","20"
"27/4/2022","09:26","05:21","19"
"26/4/2022","09:39","05:44","20"
"25/4/2022","13:39","05:41","16"
"24/4/2022","09:00","05:34","20"
"23/4/2022","10:00","05:52","19"
"22/4/2022","09:43","06:07","20"
"21/4/2022","09:22","05:14","19"
"20/4/2022","09:33","05:16","19"
"19/4/2022","09:54","05:12","19"
"18/4/2022","11:15","05:44","18"
"17/4/2022","14:50","05:11","14"
"16/4/2022","12:06","05:45","17"
"15/4/2022","14:45","05:30","14"
"14/4/2022","10:00","05:02","19"
"13/4/2022","10:19","05:13","18"
"12/4/2022","14:50","05:42","14"
"11/4/2022","09:34","05:17","19"
"10/4/2022","15:04","05:55","14"
"9/4/2022","10:40","08:27","21"
"8/4/2022","15:29","06:00","14"
"7/4/2022","16:04","05:08","13"
"6/4/2022","10:09","04:27","18"
"5/4/2022","09:59","05:15","19"
"4/4/2022","10:52","05:31","18"
"3/4/2022","15:51","06:57","15"
